2020	4	10	20	3	6	23.714	101.965	0.0	4.3
2020	5	5	21	55	22.4	22.020	105.254	6.5	3.3
2020	6	15	16	43	16.1	22.539	102.669	2.5	3.4
2020	6	16	6	12	27.7	22.507	102.669	0.1	4.8
2020	6	19	1	9	25.6	22.519	102.693	3.1	3.1
2020	6	22	15	20	35.3	22.549	102.623	0.0	3.3
2020	6	26	19	34	56.8	22.826	102.049	13.5	3.8
2020	7	27	5	14	48.7	20.932	104.701	4.2	5.0
2020	7	27	5	39	56.7	20.944	104.694	1.6	3.0
2020	7	27	8	52	25.5	20.932	104.727	0.0	3.4
2020	7	27	9	17	7.9	20.936	104.710	1.1	3.3
2020	7	27	23	17	21.7	20.922	104.729	0.9	3.4
2020	7	28	1	26	43.9	20.904	104.719	4.9	4.1
2020	7	28	5	1	7	20.912	104.706	7.2	3.1
2020	7	28	11	8	5.2	20.921	104.708	6.8	3.4
2020	7	28	13	28	17.6	20.918	104.715	5.8	3.5
2020	7	31	22	31	13.9	20.917	104.700	10.3	3.7
2020	7	31	22	53	54	23.473	101.652	0.0	4.0
2020	8	3	10	16	4.4	20.912	104.738	6.3	3.4
2020	8	4	15	22	8.2	20.923	104.683	11.3	3.0
2020	8	6	23	29	50.8	20.936	104.689	7.7	3.3
2020	8	7	3	19	22.7	20.925	104.724	2.4	3.1
2020	8	17	1	13	9.3	20.908	104.757	1.0	4.4
2020	8	17	1	25	59.1	20.912	104.710	9.2	4.1
2020	8	17	1	33	42.8	20.914	104.706	8.4	3.2
2020	8	17	1	46	14.3	20.930	104.724	0.0	3.3
2020	8	17	3	21	44.3	20.903	104.733	7.1	3.0
2020	8	17	6	1	9.1	20.908	104.761	0.0	3.2
2020	8	22	4	17	31.4	20.171	105.231	17.1	3.4
2020	9	21	1	25	35.2	20.907	104.721	8.2	3.1
2020	9	24	14	21	24.2	20.928	104.687	6.2	3.0
2020	11	2	19	54	48	23.312	101.697	0.0	3.5
2020	11	11	7	18	30.2	20.963	104.649	2.7	3.0
2020	12	30	19	3	42	22.329	101.908	7.3	3.3
